student_id,student_name,gender,date_of_birth,academic_year,disability_flag,annual_family_income,parental_education,first_generation_student,urban_rural,admission_type,institution_code
S100-25,Ananya Khan,MALE,14-05-2001,2024-2025,,4289975,NONE,1,Rural,MANAGEMENT,INST02
S101-25,Ananya Malhotra,FEMALE,21-11-2003,2024-2025,,3432740,secondary,1,Rural,RESERVATION,INST01
S102-25,Ananya Bansal,female,12-08-2002,2024-2025,,3180614,graduate,0,rural,merit,INST02
S103-25,Ananya Chopra,female,21-11-2003,2024-2025,,1413165,secondary,1,urban,Reservation,INST02
S104-25,Ananya Agarwal,male,12-08-2002,2024-2025,,4902594,primary,0,URBAN,management,INST01
S105-25,Jane Doe,Female,12-08-2002,2024-2025,,4259567,Primary,1,rural,reservation,INST02
S106-25,Ananya Joshi,female,12-08-2002,2024-2025,,1662828,Secondary,1,rural,RESERVATION,INST01
S107-25,Ananya Das,MALE,14-05-2001,2024-2025,,3359578,Secondary,1,URBAN,RESERVATION,INST02
S108-24,Ananya Roy,MALE,12-08-2002,2023-2024,,966258,PRIMARY,1,rural,MERIT,INST01
S109-25,Ananya Ghosh,male,12-08-2002,2024-2025,,4040457,none,0,Urban,merit,INST02
S110-24,Ananya Banerjee,MALE,21-11-2003,2023-2024,,2478224,SECONDARY,1,urban,merit,INST02
S111-25,Ananya Mukherjee,female,12-08-2002,2024-2025,,1611951,Primary,1,rural,RESERVATION,INST01
S112-25,Ananya Chatterjee,MALE,21-11-2003,2024-2025,,2764567,secondary,0,Rural,merit,INST01
S113-25,Ananya Saxena,Female,21-11-2003,2024-2025,,4265447,secondary,0,RURAL,reservation,INST02
S114-24,Ananya Tripathi,male,21-11-2003,2023-2024,,2125890,NONE,0,URBAN,Reservation,INST02
S115-24,Jane Doe,,14-05-2001,2023-2024,,4331338,graduate,0,RURAL,merit,INST01
S116-25,Ananya Mishra,,12-08-2002,2024-2025,,2940117,NONE,0,Urban,reservation,INST02
S117-25,Ananya Pandey,,14-05-2001,2024-2025,,3216668,primary,0,urban,reservation,INST01
S118-24,Ananya Yadav,,21-11-2003,2023-2024,,3914004,none,0,URBAN,merit,INST01
S119-24,Ananya Jain,Male,21-11-2003,2023-2024,,421084,primary,1,RURAL,merit,INST02
S120-25,Ananya Kohli,male,12-08-2002,2024-2025,,2358158,Secondary,1,rural,merit,INST01
S121-25,Rohan Sharma,Male,14-05-2001,2024-2025,,1260910,GRADUATE,0,Rural,MANAGEMENT,INST01
S122-24,Rohan Verma,male,21-11-2003,2023-2024,,2302019,GRADUATE,1,rural,merit,INST02
S123-24,Rohan Patel,Male,14-05-2001,2023-2024,,1765580,secondary,1,RURAL,Reservation,INST01
S124-25,Rohan Iyer,male,14-05-2001,2024-2025,,2674980,SECONDARY,1,Urban,Management,INST02
S125-25,Rohan Reddy,Female,14-05-2001,2024-2025,,4148850,primary,0,urban,RESERVATION,INST01
S126-25,Rohan Singh,MALE,14-05-2001,2024-2025,,1203362,primary,1,,reservation,INST02
S127-25,Rohan Gupta,Female,12-08-2002,2024-2025,,193802,PRIMARY,1,,MANAGEMENT,INST02
S128-25,Rohan Mehta,MALE,14-05-2001,2024-2025,,4789581,NONE,1,,merit,INST02
S129-25,Rohan Nair,Male,14-05-2001,2024-2025,,4796749,GRADUATE,0,,MERIT,INST02
S130-24,Rohan Khan,female,12-08-2002,2023-2024,,1787768,graduate,1,,Merit,INST01
S131-24,Rohan Malhotra,Male,12-08-2002,2023-2024,,3716562,SECONDARY,1,,Management,INST02
S132-24,Rohan Bansal,MALE,12-08-2002,2023-2024,,2527822,primary,0,,Management,INST01
S133-24,Rohan Chopra,female,14-05-2001,2023-2024,,782302,none,1,,management,INST01
S134-24,Rohan Agarwal,female,21-11-2003,2023-2024,,3243811,GRADUATE,1,,merit,INST01
S135-25,Rohan Kulkarni,male,12-08-2002,2024-2025,,947349,secondary,0,,merit,INST02
S136-25,Rohan Joshi,Female,14-05-2001,2024-2025,,2494844,secondary,0,,reservation,INST02
S137-24,Rohan Das,Male,21-11-2003,2023-2024,,3728026,primary,0,,reservation,INST02
S138-24,Rohan Roy,MALE,14-05-2001,2023-2024,,3065951,primary,1,rural,MERIT,INST01
S139-24,Rohan Ghosh,female,12-08-2002,2023-2024,,3789461,secondary,1,rural,RESERVATION,INST02
S140-25,Rohan Banerjee,female,12-08-2002,2024-2025,,3869606,SECONDARY,0,URBAN,Management,INST01
S141-24,Rohan Mukherjee,male,14-05-2001,2023-2024,,4378470,graduate,1,RURAL,reservation,INST02
S142-25,Rohan Chatterjee,MALE,12-08-2002,2024-2025,,87329,none,1,RURAL,MERIT,INST02
S143-25,Jane Doe,Male,21-11-2003,2024-2025,,3310142,secondary,0,RURAL,MANAGEMENT,INST02
S144-24,Rohan Tripathi,male,12-08-2002,2023-2024,,4335109,primary,1,Rural,merit,INST02
S145-25,Rohan Tiwari,female,21-11-2003,2024-2025,,3482067,none,0,RURAL,MANAGEMENT,INST02
S146-25,Rohan Mishra,MALE,12-08-2002,2024-2025,,4661437,none,0,RURAL,reservation,INST01
S147-25,Rohan Pandey,Male,14-05-2001,2024-2025,0,2254653,primary,1,RURAL,Merit,INST01
S148-25,Rohan Yadav,Male,12-08-2002,2024-2025,1,4515094,NONE,1,Urban,merit,INST01
S149-25,Rohan Jain,female,21-11-2003,2024-2025,1,2126639,Graduate,0,rural,management,INST01
S150-24,Rohan Kohli,Female,12-08-2002,2023-2024,0,3895751,graduate,1,rural,Reservation,INST01
S151-24,Isha Sharma,FEMALE,14-05-2001,2023-2024,0,885293,Graduate,1,Urban,Reservation,INST02
S152-24,Isha Verma,Female,12-08-2002,2023-2024,1,3073551,Secondary,1,urban,MANAGEMENT,INST01
S153-25,Isha Patel,Female,12-08-2002,2024-2025,0,127904,GRADUATE,1,urban,management,INST02
S154-24,Isha Iyer,male,14-05-2001,2023-2024,0,1248338,Primary,1,URBAN,MERIT,INST01
S155-25,Isha Reddy,female,14-05-2001,2024-2025,0,2998894,Primary,1,Urban,MANAGEMENT,INST01
S156-25,Isha Singh,male,12-08-2002,2024-2025,0,2529186,None,0,rural,management,INST02
S157-24,Isha Gupta,,21-11-2003,2023-2024,0,190000,Graduate,1,rural,reservation,INST01
S158-25,Isha Mehta,,12-08-2002,2024-2025,1,712880,none,0,URBAN,MANAGEMENT,INST01
S159-25,Isha Nair,,21-11-2003,2024-2025,1,1523424,SECONDARY,0,rural,merit,INST01
S160-25,Jane Doe,,21-11-2003,2024-2025,0,4887304,SECONDARY,0,URBAN,RESERVATION,INST01
S161-24,Isha Malhotra,female,21-11-2003,2023-2024,0,435721,GRADUATE,0,rural,merit,INST01
S162-24,Isha Bansal,male,14-05-2001,2023-2024,1,1922211,secondary,0,RURAL,Reservation,INST01
S163-25,Isha Chopra,Female,14-05-2001,2024-2025,0,3139303,PRIMARY,1,URBAN,Management,INST01
S164-25,Jane Doe,Female,21-11-2003,2024-2025,0,62264,Primary,0,RURAL,merit,INST02
S165-25,Isha Kulkarni,male,14-05-2001,2024-2025,0,762213,graduate,1,Rural,Management,INST02
S166-25,Isha Joshi,MALE,14-05-2001,2024-2025,0,2331331,PRIMARY,1,rural,management,INST02
S167-25,Isha Das,MALE,14-05-2001,2024-2025,1,2273047,NONE,1,URBAN,merit,INST01
S168-25,Isha Roy,MALE,14-05-2001,2024-2025,1,2232437,PRIMARY,0,URBAN,Merit,INST01
S169-24,Isha Ghosh,male,14-05-2001,2023-2024,0,3410323,none,1,URBAN,MANAGEMENT,INST02
S170-24,Isha Banerjee,female,12-08-2002,2023-2024,1,1459195,GRADUATE,0,URBAN,management,INST01
S171-25,Isha Mukherjee,FEMALE,14-05-2001,2024-2025,1,4235006,Primary,0,Urban,Management,INST02
S172-25,Isha Chatterjee,male,14-05-2001,2024-2025,1,3307978,none,1,urban,RESERVATION,INST01
S173-24,Isha Saxena,Female,21-11-2003,2023-2024,0,4879255,PRIMARY,1,rural,reservation,INST01
S174-24,Isha Tripathi,male,14-05-2001,2023-2024,0,4179097,none,0,urban,MANAGEMENT,INST01
S175-24,Isha Tiwari,female,14-05-2001,2023-2024,1,980469,none,0,Rural,Reservation,INST02
S176-24,Isha Mishra,Female,14-05-2001,2023-2024,0,4990471,None,1,URBAN,Management,INST01
S177-24,Isha Pandey,MALE,12-08-2002,2023-2024,0,4212301,None,1,RURAL,MERIT,INST01
S178-25,Isha Yadav,MALE,12-08-2002,2024-2025,1,2203002,primary,1,rural,management,INST01
S179-24,Isha Jain,MALE,14-05-2001,2023-2024,1,3835673,NONE,0,RURAL,Merit,INST01
S180-25,Isha Kohli,female,14-05-2001,2024-2025,1,4099489,PRIMARY,1,urban,Reservation,INST02
S181-25,Arjun Sharma,male,14-05-2001,2024-2025,0,2544777,none,1,RURAL,MERIT,INST02
S182-24,Arjun Verma,female,21-11-2003,2023-2024,1,4022598,none,1,rural,management,INST02
S183-24,Arjun Patel,MALE,21-11-2003,2023-2024,1,1317775,Primary,1,rural,MANAGEMENT,INST01
S184-24,Arjun Iyer,FEMALE,21-11-2003,2023-2024,0,1058997,PRIMARY,1,urban,RESERVATION,INST02
S185-25,Arjun Reddy,Female,14-05-2001,2024-2025,1,612137,None,1,urban,Reservation,INST01
S186-24,Arjun Singh,Female,14-05-2001,2023-2024,1,4770133,secondary,1,URBAN,MANAGEMENT,INST02
S187-24,Arjun Gupta,female,12-08-2002,2023-2024,1,3370150,SECONDARY,1,RURAL,Management,INST01
S188-24,Arjun Mehta,female,21-11-2003,2023-2024,1,2570612,NONE,0,Rural,management,INST01
S189-24,Arjun Nair,FEMALE,12-08-2002,2023-2024,0,2659889,PRIMARY,0,URBAN,MANAGEMENT,INST02
S190-24,Arjun Khan,Female,14-05-2001,2023-2024,0,2348289,primary,0,rural,merit,INST01
S191-25,Arjun Malhotra,Male,21-11-2003,2024-2025,0,280271,primary,1,Urban,RESERVATION,INST01
S192-24,Arjun Bansal,Female,14-05-2001,2023-2024,1,120998,graduate,0,rural,reservation,INST02
S193-25,Arjun Chopra,FEMALE,12-08-2002,2024-2025,1,2553797,SECONDARY,1,URBAN,Merit,INST02
S194-25,Arjun Agarwal,female,21-11-2003,2024-2025,1,1223813,graduate,0,rural,reservation,INST02
S195-25,Arjun Kulkarni,MALE,14-05-2001,2024-2025,0,1475951,secondary,0,rural,merit,INST02
S196-25,Arjun Joshi,female,21-11-2003,2024-2025,0,2235729,graduate,1,Rural,MERIT,INST01
S197-25,Arjun Das,FEMALE,14-05-2001,2024-2025,0,3482549,None,0,rural,MANAGEMENT,INST01
S198-24,Arjun Roy,MALE,21-11-2003,2023-2024,1,4156870,graduate,0,Urban,Merit,INST01
S199-24,Arjun Ghosh,MALE,21-11-2003,2023-2024,1,84593,SECONDARY,1,RURAL,MERIT,INST02
S200-25,Arjun Banerjee,Female,21-11-2003,2024-2025,1,4414495,graduate,1,URBAN,reservation,INST01
S201-24,Arjun Mukherjee,Male,12-08-2002,2023-2024,0,1083157,None,0,urban,MANAGEMENT,INST02
S202-25,Arjun Chatterjee,Male,14-05-2001,2024-2025,1,1334523,Primary,0,RURAL,Merit,INST02
S203-24,Arjun Saxena,,12-08-2002,2023-2024,1,3052465,primary,0,URBAN,Merit,INST02
S204-24,Jane Doe,,14-05-2001,2023-2024,0,805668,graduate,1,URBAN,Merit,INST02
S205-25,Arjun Tiwari,,21-11-2003,2024-2025,0,3623506,Primary,1,urban,Merit,INST02
S206-25,Arjun Mishra,,12-08-2002,2024-2025,0,4061809,PRIMARY,1,RURAL,Management,INST01
S207-25,Arjun Pandey,,12-08-2002,2024-2025,1,4144670,None,0,Rural,RESERVATION,INST01
S208-25,Arjun Yadav,FEMALE,14-05-2001,2024-2025,0,2950356,none,1,rural,management,INST02
S209-24,Arjun Jain,female,14-05-2001,2023-2024,1,4302431,GRADUATE,1,Rural,reservation,INST02
S210-24,Arjun Kohli,Male,21-11-2003,2023-2024,1,4723553,primary,1,Rural,Management,INST02
S211-25,Meera Sharma,MALE,14-05-2001,2024-2025,1,3846117,secondary,0,RURAL,reservation,INST02
S212-24,Meera Verma,FEMALE,14-05-2001,2023-2024,0,1623228,SECONDARY,1,Urban,RESERVATION,INST02
S213-25,Meera Patel,male,14-05-2001,2024-2025,0,4993542,graduate,0,urban,Management,INST02
S214-25,Meera Iyer,MALE,21-11-2003,2024-2025,1,3562014,secondary,1,rural,Management,INST01
S215-24,Meera Reddy,Female,12-08-2002,2023-2024,0,1809197,Secondary,1,Rural,RESERVATION,INST02
S216-24,Meera Singh,FEMALE,21-11-2003,2023-2024,0,4434976,PRIMARY,0,rural,merit,INST01
S217-25,Meera Gupta,male,12-08-2002,2024-2025,1,3846637,none,1,URBAN,MANAGEMENT,INST02
S218-24,Meera Mehta,Male,21-11-2003,2023-2024,1,3134836,primary,0,urban,RESERVATION,INST01
S219-25,Meera Nair,MALE,12-08-2002,2024-2025,1,97354,None,1,rural,merit,INST01
S220-24,Meera Khan,male,12-08-2002,2023-2024,1,4417162,Primary,1,RURAL,Reservation,INST01
S221-24,Jane Doe,Male,21-11-2003,2023-2024,1,2952519,none,1,Urban,management,INST02
S222-24,Meera Bansal,male,14-05-2001,2023-2024,0,2536668,none,0,rural,Reservation,INST02
S223-24,Meera Chopra,FEMALE,21-11-2003,2023-2024,0,1339786,primary,0,,management,INST01
S224-24,Jane Doe,male,12-08-2002,2023-2024,0,580475,secondary,0,,management,INST01
S225-24,Meera Kulkarni,female,14-05-2001,2023-2024,1,1194050,none,0,,reservation,INST01
S226-25,Jane Doe,FEMALE,14-05-2001,2024-2025,0,1812051,PRIMARY,1,,Reservation,INST02
S227-24,Meera Das,FEMALE,21-11-2003,2023-2024,1,2488171,Secondary,0,,merit,INST02
S228-25,Meera Roy,male,14-05-2001,2024-2025,1,2614191,PRIMARY,0,,management,INST02
S229-25,Jane Doe,female,14-05-2001,2024-2025,0,3932653,secondary,0,,RESERVATION,INST01
S230-24,Meera Banerjee,male,12-08-2002,2023-2024,1,4931251,primary,1,,management,INST01
S231-24,Meera Mukherjee,MALE,14-05-2001,2023-2024,0,4362891,graduate,1,,MANAGEMENT,INST01
S232-25,Meera Chatterjee,female,12-08-2002,2024-2025,1,3305560,none,1,,management,INST01
S233-25,Meera Saxena,male,21-11-2003,2024-2025,1,3206874,Graduate,0,,reservation,INST01
S234-24,Meera Tripathi,male,12-08-2002,2023-2024,0,3088546,graduate,0,,MERIT,INST01
S235-24,Meera Tiwari,MALE,21-11-2003,2023-2024,0,4350359,graduate,0,,Reservation,INST01
S236-24,Meera Mishra,male,14-05-2001,2023-2024,1,3495762,graduate,1,,MERIT,INST02
S237-24,Meera Pandey,male,12-08-2002,2023-2024,0,857811,none,0,,merit,INST02
S238-25,Meera Yadav,male,14-05-2001,2024-2025,0,2990356,NONE,1,,reservation,INST01
S239-24,Jane Doe,female,14-05-2001,2023-2024,1,3195978,secondary,1,rural,Merit,INST02
S240-24,Meera Kohli,FEMALE,14-05-2001,2023-2024,1,3155571,Graduate,0,Urban,MERIT,INST02
S241-25,Karan Sharma,MALE,12-08-2002,2024-2025,0,4668568,none,1,URBAN,Merit,INST02
S242-25,Karan Verma,Male,14-05-2001,2024-2025,1,4420511,GRADUATE,1,URBAN,Reservation,INST01
S243-24,Karan Patel,male,14-05-2001,2023-2024,1,3067717,secondary,0,urban,Merit,INST02
S244-25,Karan Iyer,male,14-05-2001,2024-2025,1,2369515,primary,0,rural,Reservation,INST02
S245-25,Karan Reddy,Male,21-11-2003,2024-2025,1,3213178,none,1,urban,management,INST01
S246-25,Karan Singh,Female,21-11-2003,2024-2025,0,2132535,graduate,1,Urban,merit,INST01
S247-25,Karan Gupta,male,14-05-2001,2024-2025,0,1784584,None,1,urban,merit,INST02
S248-25,Karan Mehta,FEMALE,21-11-2003,2024-2025,1,4869417,GRADUATE,0,urban,RESERVATION,INST02
S249-25,Karan Nair,male,12-08-2002,2024-2025,0,1516331,none,0,Rural,merit,INST02
S250-25,Karan Khan,FEMALE,12-08-2002,2024-2025,1,3119594,secondary,0,Urban,Merit,INST02
S251-25,Jane Doe,male,12-08-2002,2024-2025,1,1694697,Primary,1,rural,RESERVATION,INST01
S252-24,Karan Bansal,Female,21-11-2003,2023-2024,1,553621,secondary,1,RURAL,Merit,INST01
S253-24,Karan Chopra,female,14-05-2001,2023-2024,1,2437471,Secondary,0,Rural,management,INST01
S254-25,Karan Agarwal,Female,14-05-2001,2024-2025,1,1964430,Graduate,1,RURAL,MERIT,INST01
S255-25,Karan Kulkarni,FEMALE,21-11-2003,2024-2025,1,721631,NONE,1,URBAN,RESERVATION,INST02
S256-25,Karan Joshi,female,14-05-2001,2024-2025,0,1973977,NONE,1,rural,reservation,INST01
S257-24,Karan Das,Female,21-11-2003,2023-2024,1,3879763,Graduate,1,rural,MANAGEMENT,INST01
S258-25,Karan Roy,male,12-08-2002,2024-2025,1,2455536,SECONDARY,1,Rural,reservation,INST02
S259-25,Karan Ghosh,female,12-08-2002,2024-2025,1,2146280,Primary,1,rural,Management,INST01
